name,priceBefore,priceAfter,amount,amountUnit,discount,startDate,endDate,city,shop,page,processed_date,discountCondition,dt
"Стиральный порошок Tide Аквапудра Color, 3 кг",699.99,399.99,3.0,кг,43.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Стиральный порошок Tide Аквапудра Альпийская свежесть, 3 кг",699.99,399.99,3.0,кг,43.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Пельмени Бульмени, с говядиной и свининой, Горячая штучка, 900 г",339.98,169.99,900.0,г,50.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,1+1,2022-10-16
"Филе куриное, Петелинка, 1 кг",342.49,289.9,1.0,кг,16.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Кофе Jacobs Monarch, растворимый, 210 г",829.99,399.99,210.0,г,52.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Кукуруза молодая, Bonduelle, 400 г",163.99,89.9,400.0,г,46.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Мука Макфа, 2 кг",139.99,99.99,2.0,кг,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Батончики, РотФронт, 250 г",189.99,99.99,250.0,г,48.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Сервелат Финский, Папа Может, 350 г",269.8,134.9,350.0,г,50.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,1+1,2022-10-16
"Сливки Домик в Деревне, стерилизованные, 10%, 480 мл",129.99,109.99,480.0,мл,16.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Горошек, нежный, Bonduelle, 400 г",129.99,89.9,400.0,г,31.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Зубная паста Colgаtе, макс фреш, взрывная мята, 100 мл",263.99,149.99,100.0,мл,44.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Зубная паста Colgаtе, макс блеск, кристальная мята, 100 мл",263.99,149.99,100.0,мл,44.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Киви Микс, 1,5 л",94.99,74.99,1.5,л,22.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шампунь Shauma, мягкий , 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шампунь Shauma, питание , 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шампунь Shauma, 7 трав, 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шампунь Shauma, ежедневный уход, 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шампунь Shauma, протеин, 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, лосось, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Семечки, белые, соленые, от Мартина, 100 г",57.49,49.99,100.0,г,14.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шоколад Milka, клубника, 85 г",89.99,69.99,85.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шоколад Milka, молочный, 85 г",89.99,69.99,85.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Actimel, черника-ежевика, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Чипсы Lays, паприка, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, телятина, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Actimel, кисломолочный, натуральный, Danone, 1,6%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Средство для мытья посуды Synergetic, алоэ вера, 0,5 л",159.99,99.99,0.5,л,38.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шоколад Truffles, трюфельный, трюфельный, с начинкой, Коммунарка, 200 г",139.99,119.99,200.0,г,15.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Чипсы Lays, зеленый лук, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, паштет, курица-индейка, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, курица, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Actimel, гранат, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Actimel, ягодный микс, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, говядина-кролик, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, паштет, говядина-печень, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, курица-индейка, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Actimel Kids, клубника-банан, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Сардина Fish House Иваси, 245 г",89.99,69.99,245.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Альфа Кола, 1,5 л",94.99,74.99,1.5,л,22.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, паштет, индейка-кролик, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Печенье Юбилейное, традиционное, 268 г",99.99,64.9,268.0,г,36.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, курица, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Печенье Юбилейное, с овсяными хлопьями, 268 г",99.99,64.99,268.0,г,36.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Круассаны 7Days, крем-какао, 300 г",164.99,119.99,300.0,г,28.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, индейка-кролик, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Шоколад Milka, с цельным фундуком, 85 г",89.99,69.99,85.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Напиток Actimel, клубника, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Чипсы Lays, картофель с солью, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Средство для мытья посуды Synergetic, сочный лимон, 0,5 л",159.99,99.99,0.5,л,38.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,0,2022-10-17,,2022-10-16
"Стиральный порошок Tide Аквапудра Color, 3 кг",699.99,399.99,3.0,кг,43.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Стиральный порошок Tide Аквапудра Альпийская свежесть, 3 кг",699.99,399.99,3.0,кг,43.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Пельмени Бульмени, с говядиной и свининой, Горячая штучка, 900 г",339.98,169.99,900.0,г,50.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,1+1,2022-10-16
"Филе куриное, Петелинка, 1 кг",342.49,289.9,1.0,кг,16.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Кофе Jacobs Monarch, растворимый, 210 г",829.99,399.99,210.0,г,52.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Кукуруза молодая, Bonduelle, 400 г",163.99,89.9,400.0,г,46.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Мука Макфа, 2 кг",139.99,99.99,2.0,кг,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Батончики, РотФронт, 250 г",189.99,99.99,250.0,г,48.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Сервелат Финский, Папа Может, 350 г",269.8,134.9,350.0,г,50.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,1+1,2022-10-16
"Сливки Домик в Деревне, стерилизованные, 10%, 480 мл",129.99,109.99,480.0,мл,16.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Горошек, нежный, Bonduelle, 400 г",129.99,89.9,400.0,г,31.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Зубная паста Colgаtе, макс фреш, взрывная мята, 100 мл",263.99,149.99,100.0,мл,44.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Зубная паста Colgаtе, макс блеск, кристальная мята, 100 мл",263.99,149.99,100.0,мл,44.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Киви Микс, 1,5 л",94.99,74.99,1.5,л,22.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шампунь Shauma, мягкий , 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шампунь Shauma, питание , 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шампунь Shauma, 7 трав, 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шампунь Shauma, ежедневный уход, 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шампунь Shauma, протеин, 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, лосось, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Семечки, белые, соленые, от Мартина, 100 г",57.49,49.99,100.0,г,14.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шоколад Milka, клубника, 85 г",89.99,69.99,85.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шоколад Milka, молочный, 85 г",89.99,69.99,85.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Actimel, черника-ежевика, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Чипсы Lays, паприка, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, телятина, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Actimel, кисломолочный, натуральный, Danone, 1,6%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Средство для мытья посуды Synergetic, алоэ вера, 0,5 л",159.99,99.99,0.5,л,38.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шоколад Truffles, трюфельный, трюфельный, с начинкой, Коммунарка, 200 г",139.99,119.99,200.0,г,15.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Чипсы Lays, зеленый лук, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, паштет, курица-индейка, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, курица, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Actimel, гранат, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, говядина-кролик, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Actimel, ягодный микс, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, паштет, говядина-печень, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, курица-индейка, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Actimel Kids, клубника-банан, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Сардина Fish House Иваси, 245 г",89.99,69.99,245.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Альфа Кола, 1,5 л",94.99,74.99,1.5,л,22.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, паштет, индейка-кролик, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Печенье Юбилейное, традиционное, 268 г",99.99,64.9,268.0,г,36.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, курица, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Печенье Юбилейное, с овсяными хлопьями, 268 г",99.99,64.99,268.0,г,36.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Круассаны 7Days, крем-какао, 300 г",164.99,119.99,300.0,г,28.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, индейка-кролик, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Шоколад Milka, с цельным фундуком, 85 г",89.99,69.99,85.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Напиток Actimel, клубника, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Чипсы Lays, картофель с солью, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Средство для мытья посуды Synergetic, сочный лимон, 0,5 л",159.99,99.99,0.5,л,38.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,1,2022-10-17,,2022-10-16
"Чипсы Lays, лобстер, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Напиток Actimel, земляника-шиповник, Danone, 1,5%, 95 г",37.99,26.99,95.0,г,29.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, говядина-ягненок, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Чипсы Lays, сметана и лук, 140 г",149.99,119.99,140.0,г,21.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Бальзам для волос Shauma, 7 трав, 370 мл",229.99,169.99,370.0,мл,27.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Шоколад Milka, молочный, с фундуком, 85 г",89.99,69.99,85.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, паштет, утка, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, рагу, курица, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Корм для кошек Whiskas, желе, лосось, 75 г",26.99,19.99,75.0,г,26.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Шоколад Milka, молочный, с карамельной начинкой, 90 г",89.99,69.99,90.0,г,23.0,2022-10-11T00:00:00Z,2022-10-17T00:00:00Z,moskva,5ka,2,2022-10-17,,2022-10-16
"Стиральный порошок PERSIL®, Колор, автомат, Свежесть от Вернель, 3кг",1399.99,429.99,3.0,кг,70.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Ветчина РУБЛЕВСКИЙ Для завтрака (Москворецкий), 400г",399.56,189.99,400.0,г,53.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Форель БАЛТИЙСКИЙ БЕРЕГ, слабосоленая, 200г",469.29,299.99,200.0,г,37.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Порошок стиральный LOSK® автомат Горное Озеро, 2,7кг",469.99,349.99,2.7,кг,26.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Карбонат ЮБИЛЕЙНЫЙ, варено-копченый (Семейные Секреты), 150г",121.49,99.99,150.0,г,18.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Грецкий орех ВОСТОЧНЫЙ ГОСТЬ, 150г",240.59,191.99,150.0,г,21.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Сыр плавленый ФЕТАКСА Хохланд 45%, 400г",309.0,229.99,400.0,г,26.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Суп МАГНИТ Гороховый со вкусом бекона, 70г",39.99,29.99,70.0,г,26.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Хлеб ДАНИЛОВСКИЙ, бездрожжевой, ржано-пшеничный, нарезка, 300г",45.99,34.99,300.0,г,24.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"МОРОЖЕНОЕ пломбир (НБН-Пломбир), 450г",261.99,209.99,450.0,г,20.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Капсулы для стирки LOSK® Дуо-капс Колор, 12шт.",369.99,249.99,12.0,шт,33.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Колбаса PREMIERE OF TASTE® Сальчичон сырокопченая, 250г",363.79,159.99,250.0,г,57.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"КРЕВЕТКИ КОКТЕЙЛЬНЫЕ Очищенные (Агама Роял Гринланд), 300г",632.89,479.99,300.0,г,25.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Колбаски ПИКОЛИНИ, Хамон, сырокопченые (Дымов), 50г",96.69,54.99,50.0,г,44.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Масляная рыба БАЛТИЙСКИЙ БЕРЕГ холодного копчения филе кусочки, 200г",434.17,319.99,200.0,г,27.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Мармелад жевательный БОН ПАРИ, Медведи, 75г",75.5,49.99,75.0,г,34.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Фарш ИНДИЛАЙТ Классический, охлажденный, 450г",185.37,149.99,450.0,г,20.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Приправа ИНДАНА для курицы, 15г",36.99,28.99,15.0,г,22.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"МОЛОЧНАЯ ЛЕГЕНДА Йогурт термостатный 3,4% 180г пл/ст (КМК):6",46.99,39.99,180.0,г,15.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Сардина иваси ДОБРОФЛОТ, Тихоокеанская, 245г",149.99,89.99,245.0,г,41.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Шоколад молочный РОССИЯ, Карамель/арахис, 90г",89.99,49.99,90.0,г,45.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Скумбрия БАРС в томатном соусе, 250г",129.99,109.99,250.0,г,16.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Шоколад молочный ALPEN GOLD, Соленый миндаль и карамель, 90г",105.39,57.99,90.0,г,45.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Йогурт САВУШКИН Греческий клубника 2%, 140г",55.99,44.99,140.0,г,20.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Чай RICHARD черный Роял Годжи&Вайлд Строберри, 25пакетиков",142.53,89.99,25.0,шт,37.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
"Чай черный RICHARD Роял, с розмарином и чабрецом, 25 пакетиков",126.69,89.99,25.0,шт,29.0,2022-10-12T00:00:00Z,2022-10-18T00:00:00Z,moskva,magnit-univer,0,2022-10-17,,2022-10-16
